Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\ECEN-5730 PCB Design\Board2\Project Outputs for Board2\Pick Place for ECEN5730_BRD2.csv

========================================================================================================================
File Design Information:

Date:       10/02/22
Time:       02:35
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"U3","74HC14D,653","TopLayer","HEX_74AC14","2380.000","850.000","0","Inverter IC 6 Channel Schmitt Trigger 14-SOIC"
"U2","74HC14D,653","TopLayer","HEX_74AC14","755.000","510.000","0","Inverter IC 6 Channel Schmitt Trigger 14-SOIC"
"U1","LMC555CMX/NOPB","TopLayer","TS555IDTTR","2325.000","1700.000","90","555 Type, Timer/Oscillator _Single_ IC 3MHz 8-SO"
"TP11","10x Probe TP","TopLayer","TP10x_Probe","2920.000","230.000","0","Test Point 300 mil centers"
"TP10","10x Probe TP","TopLayer","TP10x_Probe","2340.000","230.000","0","Test Point 300 mil centers"
"TP9","10x Probe TP","TopLayer","TP10x_Probe","1100.000","1475.000","180","Test Point 300 mil centers"
"TP8","10x Probe TP","TopLayer","TP10x_Probe","2330.000","480.000","0","Test Point 300 mil centers"
"TP7","10x Probe TP","TopLayer","TP10x_Probe","1930.000","490.000","270","Test Point 300 mil centers"
"TP6","10x Probe TP","TopLayer","TP10x_Probe","610.000","160.000","0","Test Point 300 mil centers"
"TP5","10x Probe TP","TopLayer","TP10x_Probe","1930.000","1030.000","270","Test Point 300 mil centers"
"TP4","10x Probe TP","TopLayer","TP10x_Probe","160.000","290.000","270","Test Point 300 mil centers"
"TP3","10x Probe TP","TopLayer","TP10x_Probe","160.000","830.000","270","Test Point 300 mil centers"
"TP2","TP_5V","TopLayer","TP10x_Probe","405.000","1475.000","180","Test Point 300 mil centers"
"TP1","TP_555_Output","TopLayer","TP10x_Probe","1880.000","1530.000","180","Test Point 300 mil centers"
"SW4","SW_2Pin_100mil_Switch","TopLayer","2Pin-Header-Conn","2930.000","670.000","0","2Pin Header"
"SW3","SW_2Pin_100mil_Switch","TopLayer","2Pin-Header-Conn","2360.000","1190.000","180","2Pin Header"
"SW2","SW_2Pin_100mil_Switch","TopLayer","2Pin-Header-Conn","1400.000","1190.000","0","2Pin Header"
"SW1","SW_555_On/Off","TopLayer","2Pin-Header-Conn","1950.000","2000.000","0","2Pin Header"
