Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\ECEN-5730 PCB Design\Board3_Golden_Arduino_Version2\Project Outputs for Board3_Golden_Arduino_Version2\Pick Place for Board3_V2_Layout.csv

========================================================================================================================
File Design Information:

Date:       01/04/22
Time:       04:10
Revision:   555834a83baf64353a0edbd70c3ce72ad1340a11
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"TP9_XTAL","10x Probe TP","TopLayer","TP10x_Probe","2105.575","787.768","90","Test Point 300 mil centers"
"TP8_XTAL","10x Probe TP","TopLayer","TP10x_Probe","1481.128","2470.184","180","Test Point 300 mil centers"
"R14","10k","TopLayer","1206_Passive_Resitor","1924.179","946.534","90","10 kOhms ±5% 0.25W, 1/4W Chip Resistor 1206 (3216 Metric) Automotive AEC-Q200 Thick Film"
"R13","10k","TopLayer","1206_Passive_Resitor","2522.335","2539.751","180","10 kOhms ±5% 0.25W, 1/4W Chip Resistor 1206 (3216 Metric) Automotive AEC-Q200 Thick Film"
"TP7_CHTX","10x Probe TP","TopLayer","TP10x_Probe","2480.857","156.422","0","Test Point 300 mil centers"
"TP6_CHRX","10x Probe TP","TopLayer","TP10x_Probe","1922.709","160.022","0","Test Point 300 mil centers"
"TP5_D-","10x Probe TP","TopLayer","TP10x_Probe","1931.710","2472.119","270","Test Point 300 mil centers"
"TP4_D+","10x Probe TP","TopLayer","TP10x_Probe","2173.829","2465.744","270","Test Point 300 mil centers"
"Y2","X322516MLB4SI","TopLayer","Crystal_resonator","1673.730","938.938","90","±10ppm 16000000Hz -40?~85? ?????? 60O 9pF SMD3225-4P Crystals ROHS"
"Y1","X322512MSB4SI","TopLayer","Crystal_resonator","2399.923","2736.168","180","SMD Crystal Resonators 12MHz ±10ppm SMD-3225_4P RoHS"
"USB1","USB_TypeC","TopLayer","TYPE-C-TH_USB31-TYPEC-33141-2FS","1802.853","3215.329","180",""
"U2","ATMEGA328P-ANR","TopLayer","ATMega328P","1366.575","696.330","0","AVR AVR® ATmega Microcontroller IC 8-Bit 20MHz 32KB (16K x 16) FLASH 32-TQFP (7x7)"
"U1","CH340G","TopLayer","USB_to_serial","2693.000","2877.423","270","Transceiver USB 2.0 2Mbps SOP-16_150mil USB ICs RoHS"
"TP3_3V3","10x Probe TP","TopLayer","TP10x_Probe","959.892","2540.904","270","Test Point 300 mil centers"
"TP2_USB","10x Probe TP","TopLayer","TP10x_Probe","2497.688","3373.003","0","Test Point 300 mil centers"
"TP1_JACK","TP_5V","TopLayer","TP10x_Probe","256.119","2540.311","270","Test Point 300 mil centers"
"SW2","TL3305AF160QG","TopLayer","Switch_JLC","515.021","2472.162","90","Tactile Switch SPST-NO Top Actuated Surface Mount"
"SW1","PREC003SAAN-RC","TopLayer","3_PIN_100mil","1127.634","3385.204","180","Connector Header Through Hole 3 position 0.100" (2.54mm)"
